Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TI","Trade Indices","040","Austria","64","Import Value Base Period Quantity","21111.01","Meat of cattle with the bone, fresh or chilled","1961","1961","1000 $","29369","E","Estimated value"
"TI","Trade Indices","040","Austria","64","Import Value Base Period Quantity","21111.01","Meat of cattle with the bone, fresh or chilled","1962","1962","1000 $","31064","E","Estimated value"
"TI","Trade Indices","040","Austria","64","Import Value Base Period Quantity","21111.01","Meat of cattle with the bone, fresh or chilled","1963","1963","1000 $","29701","E","Estimated value"
"TI","Trade Indices","040","Austria","64","Import Value Base Period Quantity","21111.01","Meat of cattle with the bone, fresh or chilled","1964","1964","1000 $","35954","E","Estimated value"
"TI","Trade Indices","040","Austria","64","Import Value Base Period Quantity","21111.01","Meat of cattle with the bone, fresh or chilled","1965","1965","1000 $","37761","E","Estimated value"
"TI","Trade Indices","040","Austria","64","Import Value Base Period Quantity","21111.01","Meat of cattle with the bone, fresh or chilled","1966","1966","1000 $","38377","E","Estimated value"
"TI","Trade Indices","040","Austria","64","Import Value Base Period Quantity","21111.01","Meat of cattle with the bone, fresh or chilled","1967","1967","1000 $","39700","E","Estimated value"
"TI","Trade Indices","040","Austria","64","Import Value Base Period Quantity","21111.01","Meat of cattle with the bone, fresh or chilled","1968","1968","1000 $","41401","E","Estimated value"
"TI","Trade Indices","040","Austria","64","Import Value Base Period Quantity","21111.01","Meat of cattle with the bone, fresh or chilled","1969","1969","1000 $","40213","E","Estimated value"
"TI","Trade Indices","040","Austria","64","Import Value Base Period Quantity","21111.01","Meat of cattle with the bone, fresh or chilled","1970","1970","1000 $","39569","E","Estimated value"
"TI","Trade Indices","040","Austria","64","Import Value Base Period Quantity","21111.01","Meat of cattle with the bone, fresh or chilled","1971","1971","1000 $","44998","E","Estimated value"
"TI","Trade Indices","040","Austria","64","Import Value Base Period Quantity","21111.01","Meat of cattle with the bone, fresh or chilled","1972","1972","1000 $","61789","E","Estimated value"
"TI","Trade Indices","040","Austria","64","Import Value Base Period Quantity","21111.01","Meat of cattle with the bone, fresh or chilled","1973","1973","1000 $","81766","E","Estimated value"
"TI","Trade Indices","040","Austria","64","Import Value Base Period Quantity","21111.01","Meat of cattle with the bone, fresh or chilled","1974","1974","1000 $","75932","E","Estimated value"
"TI","Trade Indices","040","Austria","64","Import Value Base Period Quantity","21111.01","Meat of cattle with the bone, fresh or chilled","1975","1975","1000 $","77902","E","Estimated value"
"TI","Trade Indices","040","Austria","64","Import Value Base Period Quantity","21111.01","Meat of cattle with the bone, fresh or chilled","1976","1976","1000 $","64907","E","Estimated value"
"TI","Trade Indices","040","Austria","64","Import Value Base Period Quantity","21111.01","Meat of cattle with the bone, fresh or chilled","1977","1977","1000 $","80817","E","Estimated value"
"TI","Trade Indices","040","Austria","64","Import Value Base Period Quantity","21111.01","Meat of cattle with the bone, fresh or chilled","1978","1978","1000 $","83942","E","Estimated value"
"TI","Trade Indices","040","Austria","64","Import Value Base Period Quantity","21111.01","Meat of cattle with the bone, fresh or chilled","1979","1979","1000 $","121120","E","Estimated value"
"TI","Trade Indices","040","Austria","64","Import Value Base Period Quantity","21111.01","Meat of cattle with the bone, fresh or chilled","1980","1980","1000 $","115679","E","Estimated value"
"TI","Trade Indices","040","Austria","64","Import Value Base Period Quantity","21111.01","Meat of cattle with the bone, fresh or chilled","1981","1981","1000 $","81144","E","Estimated value"
"TI","Trade Indices","040","Austria","64","Import Value Base Period Quantity","21111.01","Meat of cattle with the bone, fresh or chilled","1982","1982","1000 $","112666","E","Estimated value"
"TI","Trade Indices","040","Austria","64","Import Value Base Period Quantity","21111.01","Meat of cattle with the bone, fresh or chilled","1983","1983","1000 $","124915","E","Estimated value"
"TI","Trade Indices","040","Austria","64","Import Value Base Period Quantity","21111.01","Meat of cattle with the bone, fresh or chilled","1984","1984","1000 $","91293","E","Estimated value"
"TI","Trade Indices","040","Austria","64","Import Value Base Period Quantity","21111.01","Meat of cattle with the bone, fresh or chilled","1985","1985","1000 $","203656","E","Estimated value"
"TI","Trade Indices","040","Austria","64","Import Value Base Period Quantity","21111.01","Meat of cattle with the bone, fresh or chilled","1986","1986","1000 $","325268","E","Estimated value"
"TI","Trade Indices","040","Austria","64","Import Value Base Period Quantity","21111.01","Meat of cattle with the bone, fresh or chilled","1987","1987","1000 $","412477","E","Estimated value"
"TI","Trade Indices","040","Austria","64","Import Value Base Period Quantity","21111.01","Meat of cattle with the bone, fresh or chilled","1988","1988","1000 $","335281","E","Estimated value"
"TI","Trade Indices","040","Austria","64","Import Value Base Period Quantity","21111.01","Meat of cattle with the bone, fresh or chilled","1989","1989","1000 $","319540","E","Estimated value"
"TI","Trade Indices","040","Austria","64","Import Value Base Period Quantity","21111.01","Meat of cattle with the bone, fresh or chilled","1990","1990","1000 $","473046","E","Estimated value"
"TI","Trade Indices","040","Austria","64","Import Value Base Period Quantity","21111.01","Meat of cattle with the bone, fresh or chilled","1991","1991","1000 $","465352","E","Estimated value"
"TI","Trade Indices","040","Austria","64","Import Value Base Period Quantity","21111.01","Meat of cattle with the bone, fresh or chilled","1992","1992","1000 $","597290","E","Estimated value"
"TI","Trade Indices","040","Austria","64","Import Value Base Period Quantity","21111.01","Meat of cattle with the bone, fresh or chilled","1993","1993","1000 $","303965","E","Estimated value"
"TI","Trade Indices","040","Austria","64","Import Value Base Period Quantity","21111.01","Meat of cattle with the bone, fresh or chilled","1994","1994","1000 $","326862","E","Estimated value"
"TI","Trade Indices","040","Austria","64","Import Value Base Period Quantity","21111.01","Meat of cattle with the bone, fresh or chilled","1995","1995","1000 $","209100","E","Estimated value"
"TI","Trade Indices","040","Austria","64","Import Value Base Period Quantity","21111.01","Meat of cattle with the bone, fresh or chilled","1996","1996","1000 $","215476","E","Estimated value"
"TI","Trade Indices","040","Austria","64","Import Value Base Period Quantity","21111.01","Meat of cattle with the bone, fresh or chilled","1997","1997","1000 $","183139","E","Estimated value"
"TI","Trade Indices","040","Austria","64","Import Value Base Period Quantity","21111.01","Meat of cattle with the bone, fresh or chilled","1998","1998","1000 $","205010","E","Estimated value"
"TI","Trade Indices","040","Austria","64","Import Value Base Period Quantity","21111.01","Meat of cattle with the bone, fresh or chilled","1999","1999","1000 $","196544","E","Estimated value"
"TI","Trade Indices","040","Austria","64","Import Value Base Period Quantity","21111.01","Meat of cattle with the bone, fresh or chilled","2000","2000","1000 $","180072","E","Estimated value"
"TI","Trade Indices","040","Austria","64","Import Value Base Period Quantity","21111.01","Meat of cattle with the bone, fresh or chilled","2001","2001","1000 $","178019","E","Estimated value"
"TI","Trade Indices","040","Austria","64","Import Value Base Period Quantity","21111.01","Meat of cattle with the bone, fresh or chilled","2002","2002","1000 $","205706","E","Estimated value"
"TI","Trade Indices","040","Austria","64","Import Value Base Period Quantity","21111.01","Meat of cattle with the bone, fresh or chilled","2003","2003","1000 $","202116","E","Estimated value"
"TI","Trade Indices","040","Austria","64","Import Value Base Period Quantity","21111.01","Meat of cattle with the bone, fresh or chilled","2004","2004","1000 $","226177","E","Estimated value"
"TI","Trade Indices","040","Austria","64","Import Value Base Period Quantity","21111.01","Meat of cattle with the bone, fresh or chilled","2005","2005","1000 $","237336","E","Estimated value"
"TI","Trade Indices","040","Austria","64","Import Value Base Period Quantity","21111.01","Meat of cattle with the bone, fresh or chilled","2006","2006","1000 $","286682","E","Estimated value"
"TI","Trade Indices","040","Austria","64","Import Value Base Period Quantity","21111.01","Meat of cattle with the bone, fresh or chilled","2007","2007","1000 $","299767","E","Estimated value"
"TI","Trade Indices","040","Austria","64","Import Value Base Period Quantity","21111.01","Meat of cattle with the bone, fresh or chilled","2008","2008","1000 $","285219","E","Estimated value"
"TI","Trade Indices","040","Austria","64","Import Value Base Period Quantity","21111.01","Meat of cattle with the bone, fresh or chilled","2009","2009","1000 $","254885","E","Estimated value"
"TI","Trade Indices","040","Austria","64","Import Value Base Period Quantity","21111.01","Meat of cattle with the bone, fresh or chilled","2010","2010","1000 $","234773","E","Estimated value"
"TI","Trade Indices","040","Austria","64","Import Value Base Period Quantity","21111.01","Meat of cattle with the bone, fresh or chilled","2011","2011","1000 $","284619","E","Estimated value"
"TI","Trade Indices","040","Austria","64","Import Value Base Period Quantity","21111.01","Meat of cattle with the bone, fresh or chilled","2012","2012","1000 $","281288","E","Estimated value"
"TI","Trade Indices","040","Austria","64","Import Value Base Period Quantity","21111.01","Meat of cattle with the bone, fresh or chilled","2013","2013","1000 $","293221","E","Estimated value"
"TI","Trade Indices","040","Austria","64","Import Value Base Period Quantity","21111.01","Meat of cattle with the bone, fresh or chilled","2014","2014","1000 $","267559","E","Estimated value"
"TI","Trade Indices","040","Austria","64","Import Value Base Period Quantity","21111.01","Meat of cattle with the bone, fresh or chilled","2015","2015","1000 $","239619","E","Estimated value"
"TI","Trade Indices","040","Austria","64","Import Value Base Period Quantity","21111.01","Meat of cattle with the bone, fresh or chilled","2016","2016","1000 $","227140","E","Estimated value"
"TI","Trade Indices","040","Austria","64","Import Value Base Period Quantity","21111.01","Meat of cattle with the bone, fresh or chilled","2017","2017","1000 $","242354","E","Estimated value"
"TI","Trade Indices","040","Austria","64","Import Value Base Period Quantity","21111.01","Meat of cattle with the bone, fresh or chilled","2018","2018","1000 $","284776","E","Estimated value"
"TI","Trade Indices","040","Austria","64","Import Value Base Period Quantity","21111.01","Meat of cattle with the bone, fresh or chilled","2019","2019","1000 $","249808","E","Estimated value"
"TI","Trade Indices","040","Austria","64","Import Value Base Period Quantity","21111.01","Meat of cattle with the bone, fresh or chilled","2020","2020","1000 $","215573","E","Estimated value"
"TI","Trade Indices","040","Austria","64","Import Value Base Period Quantity","21111.01","Meat of cattle with the bone, fresh or chilled","2021","2021","1000 $","251854","E","Estimated value"
"TI","Trade Indices","040","Austria","65","Import Value Base Period Price","21111.01","Meat of cattle with the bone, fresh or chilled","1961","1961","1000 $","18354","E","Estimated value"
"TI","Trade Indices","040","Austria","65","Import Value Base Period Price","21111.01","Meat of cattle with the bone, fresh or chilled","1962","1962","1000 $","17533","E","Estimated value"
"TI","Trade Indices","040","Austria","65","Import Value Base Period Price","21111.01","Meat of cattle with the bone, fresh or chilled","1963","1963","1000 $","12876","E","Estimated value"
"TI","Trade Indices","040","Austria","65","Import Value Base Period Price","21111.01","Meat of cattle with the bone, fresh or chilled","1964","1964","1000 $","29007","E","Estimated value"
"TI","Trade Indices","040","Austria","65","Import Value Base Period Price","21111.01","Meat of cattle with the bone, fresh or chilled","1965","1965","1000 $","47339","E","Estimated value"
"TI","Trade Indices","040","Austria","65","Import Value Base Period Price","21111.01","Meat of cattle with the bone, fresh or chilled","1966","1966","1000 $","21520","E","Estimated value"
"TI","Trade Indices","040","Austria","65","Import Value Base Period Price","21111.01","Meat of cattle with the bone, fresh or chilled","1967","1967","1000 $","13111","E","Estimated value"
"TI","Trade Indices","040","Austria","65","Import Value Base Period Price","21111.01","Meat of cattle with the bone, fresh or chilled","1968","1968","1000 $","21933","E","Estimated value"
"TI","Trade Indices","040","Austria","65","Import Value Base Period Price","21111.01","Meat of cattle with the bone, fresh or chilled","1969","1969","1000 $","51342","E","Estimated value"
"TI","Trade Indices","040","Austria","65","Import Value Base Period Price","21111.01","Meat of cattle with the bone, fresh or chilled","1970","1970","1000 $","94611","E","Estimated value"
"TI","Trade Indices","040","Austria","65","Import Value Base Period Price","21111.01","Meat of cattle with the bone, fresh or chilled","1971","1971","1000 $","73141","E","Estimated value"
"TI","Trade Indices","040","Austria","65","Import Value Base Period Price","21111.01","Meat of cattle with the bone, fresh or chilled","1972","1972","1000 $","70349","E","Estimated value"
"TI","Trade Indices","040","Austria","65","Import Value Base Period Price","21111.01","Meat of cattle with the bone, fresh or chilled","1973","1973","1000 $","75358","E","Estimated value"
"TI","Trade Indices","040","Austria","65","Import Value Base Period Price","21111.01","Meat of cattle with the bone, fresh or chilled","1974","1974","1000 $","11609","E","Estimated value"
"TI","Trade Indices","040","Austria","65","Import Value Base Period Price","21111.01","Meat of cattle with the bone, fresh or chilled","1975","1975","1000 $","10855","E","Estimated value"
"TI","Trade Indices","040","Austria","65","Import Value Base Period Price","21111.01","Meat of cattle with the bone, fresh or chilled","1976","1976","1000 $","107118","E","Estimated value"
"TI","Trade Indices","040","Austria","65","Import Value Base Period Price","21111.01","Meat of cattle with the bone, fresh or chilled","1977","1977","1000 $","83622","E","Estimated value"
"TI","Trade Indices","040","Austria","65","Import Value Base Period Price","21111.01","Meat of cattle with the bone, fresh or chilled","1978","1978","1000 $","111764","E","Estimated value"
"TI","Trade Indices","040","Austria","65","Import Value Base Period Price","21111.01","Meat of cattle with the bone, fresh or chilled","1979","1979","1000 $","61868","E","Estimated value"
"TI","Trade Indices","040","Austria","65","Import Value Base Period Price","21111.01","Meat of cattle with the bone, fresh or chilled","1980","1980","1000 $","55770","E","Estimated value"
"TI","Trade Indices","040","Austria","65","Import Value Base Period Price","21111.01","Meat of cattle with the bone, fresh or chilled","1981","1981","1000 $","68060","E","Estimated value"
"TI","Trade Indices","040","Austria","65","Import Value Base Period Price","21111.01","Meat of cattle with the bone, fresh or chilled","1982","1982","1000 $","46719","E","Estimated value"
"TI","Trade Indices","040","Austria","65","Import Value Base Period Price","21111.01","Meat of cattle with the bone, fresh or chilled","1983","1983","1000 $","27662","E","Estimated value"
"TI","Trade Indices","040","Austria","65","Import Value Base Period Price","21111.01","Meat of cattle with the bone, fresh or chilled","1984","1984","1000 $","30398","E","Estimated value"
"TI","Trade Indices","040","Austria","65","Import Value Base Period Price","21111.01","Meat of cattle with the bone, fresh or chilled","1985","1985","1000 $","11262","E","Estimated value"
"TI","Trade Indices","040","Austria","65","Import Value Base Period Price","21111.01","Meat of cattle with the bone, fresh or chilled","1986","1986","1000 $","8655","E","Estimated value"
"TI","Trade Indices","040","Austria","65","Import Value Base Period Price","21111.01","Meat of cattle with the bone, fresh or chilled","1987","1987","1000 $","9693","E","Estimated value"
"TI","Trade Indices","040","Austria","65","Import Value Base Period Price","21111.01","Meat of cattle with the bone, fresh or chilled","1988","1988","1000 $","16511","E","Estimated value"
"TI","Trade Indices","040","Austria","65","Import Value Base Period Price","21111.01","Meat of cattle with the bone, fresh or chilled","1989","1989","1000 $","19018","E","Estimated value"
"TI","Trade Indices","040","Austria","65","Import Value Base Period Price","21111.01","Meat of cattle with the bone, fresh or chilled","1990","1990","1000 $","10648","E","Estimated value"
"TI","Trade Indices","040","Austria","65","Import Value Base Period Price","21111.01","Meat of cattle with the bone, fresh or chilled","1991","1991","1000 $","9152","E","Estimated value"
"TI","Trade Indices","040","Austria","65","Import Value Base Period Price","21111.01","Meat of cattle with the bone, fresh or chilled","1992","1992","1000 $","6645","E","Estimated value"
"TI","Trade Indices","040","Austria","65","Import Value Base Period Price","21111.01","Meat of cattle with the bone, fresh or chilled","1993","1993","1000 $","13407","E","Estimated value"
"TI","Trade Indices","040","Austria","65","Import Value Base Period Price","21111.01","Meat of cattle with the bone, fresh or chilled","1994","1994","1000 $","10637","E","Estimated value"
"TI","Trade Indices","040","Austria","65","Import Value Base Period Price","21111.01","Meat of cattle with the bone, fresh or chilled","1995","1995","1000 $","82098","E","Estimated value"
"TI","Trade Indices","040","Austria","65","Import Value Base Period Price","21111.01","Meat of cattle with the bone, fresh or chilled","1996","1996","1000 $","65223","E","Estimated value"
"TI","Trade Indices","040","Austria","65","Import Value Base Period Price","21111.01","Meat of cattle with the bone, fresh or chilled","1997","1997","1000 $","60461","E","Estimated value"
"TI","Trade Indices","040","Austria","65","Import Value Base Period Price","21111.01","Meat of cattle with the bone, fresh or chilled","1998","1998","1000 $","56647","E","Estimated value"
"TI","Trade Indices","040","Austria","65","Import Value Base Period Price","21111.01","Meat of cattle with the bone, fresh or chilled","1999","1999","1000 $","85498","E","Estimated value"
"TI","Trade Indices","040","Austria","65","Import Value Base Period Price","21111.01","Meat of cattle with the bone, fresh or chilled","2000","2000","1000 $","69992","E","Estimated value"
"TI","Trade Indices","040","Austria","65","Import Value Base Period Price","21111.01","Meat of cattle with the bone, fresh or chilled","2001","2001","1000 $","47289","E","Estimated value"
"TI","Trade Indices","040","Austria","65","Import Value Base Period Price","21111.01","Meat of cattle with the bone, fresh or chilled","2002","2002","1000 $","53241","E","Estimated value"
"TI","Trade Indices","040","Austria","65","Import Value Base Period Price","21111.01","Meat of cattle with the bone, fresh or chilled","2003","2003","1000 $","90322","E","Estimated value"
"TI","Trade Indices","040","Austria","65","Import Value Base Period Price","21111.01","Meat of cattle with the bone, fresh or chilled","2004","2004","1000 $","100228","E","Estimated value"
"TI","Trade Indices","040","Austria","65","Import Value Base Period Price","21111.01","Meat of cattle with the bone, fresh or chilled","2005","2005","1000 $","99653","E","Estimated value"
"TI","Trade Indices","040","Austria","65","Import Value Base Period Price","21111.01","Meat of cattle with the bone, fresh or chilled","2006","2006","1000 $","96224","E","Estimated value"
"TI","Trade Indices","040","Austria","65","Import Value Base Period Price","21111.01","Meat of cattle with the bone, fresh or chilled","2007","2007","1000 $","112322","E","Estimated value"
"TI","Trade Indices","040","Austria","65","Import Value Base Period Price","21111.01","Meat of cattle with the bone, fresh or chilled","2008","2008","1000 $","149186","E","Estimated value"
"TI","Trade Indices","040","Austria","65","Import Value Base Period Price","21111.01","Meat of cattle with the bone, fresh or chilled","2009","2009","1000 $","169801","E","Estimated value"
"TI","Trade Indices","040","Austria","65","Import Value Base Period Price","21111.01","Meat of cattle with the bone, fresh or chilled","2010","2010","1000 $","204532","E","Estimated value"
"TI","Trade Indices","040","Austria","65","Import Value Base Period Price","21111.01","Meat of cattle with the bone, fresh or chilled","2011","2011","1000 $","200076","E","Estimated value"
"TI","Trade Indices","040","Austria","65","Import Value Base Period Price","21111.01","Meat of cattle with the bone, fresh or chilled","2012","2012","1000 $","203393","E","Estimated value"
"TI","Trade Indices","040","Austria","65","Import Value Base Period Price","21111.01","Meat of cattle with the bone, fresh or chilled","2013","2013","1000 $","192845","E","Estimated value"
"TI","Trade Indices","040","Austria","65","Import Value Base Period Price","21111.01","Meat of cattle with the bone, fresh or chilled","2014","2014","1000 $","232436","E","Estimated value"
"TI","Trade Indices","040","Austria","65","Import Value Base Period Price","21111.01","Meat of cattle with the bone, fresh or chilled","2015","2015","1000 $","229994","E","Estimated value"
"TI","Trade Indices","040","Austria","65","Import Value Base Period Price","21111.01","Meat of cattle with the bone, fresh or chilled","2016","2016","1000 $","269276","E","Estimated value"
"TI","Trade Indices","040","Austria","65","Import Value Base Period Price","21111.01","Meat of cattle with the bone, fresh or chilled","2017","2017","1000 $","277413","E","Estimated value"
"TI","Trade Indices","040","Austria","65","Import Value Base Period Price","21111.01","Meat of cattle with the bone, fresh or chilled","2018","2018","1000 $","249980","E","Estimated value"
"TI","Trade Indices","040","Austria","65","Import Value Base Period Price","21111.01","Meat of cattle with the bone, fresh or chilled","2019","2019","1000 $","281889","E","Estimated value"
"TI","Trade Indices","040","Austria","65","Import Value Base Period Price","21111.01","Meat of cattle with the bone, fresh or chilled","2020","2020","1000 $","257905","E","Estimated value"
"TI","Trade Indices","040","Austria","65","Import Value Base Period Price","21111.01","Meat of cattle with the bone, fresh or chilled","2021","2021","1000 $","235402","E","Estimated value"
"TI","Trade Indices","040","Austria","94","Export Value Base Quantity","21111.01","Meat of cattle with the bone, fresh or chilled","1961","1961","1000 $","77221","E","Estimated value"
"TI","Trade Indices","040","Austria","94","Export Value Base Quantity","21111.01","Meat of cattle with the bone, fresh or chilled","1962","1962","1000 $","77638","E","Estimated value"
"TI","Trade Indices","040","Austria","94","Export Value Base Quantity","21111.01","Meat of cattle with the bone, fresh or chilled","1963","1963","1000 $","69511","E","Estimated value"
"TI","Trade Indices","040","Austria","94","Export Value Base Quantity","21111.01","Meat of cattle with the bone, fresh or chilled","1964","1964","1000 $","106118","E","Estimated value"
"TI","Trade Indices","040","Austria","94","Export Value Base Quantity","21111.01","Meat of cattle with the bone, fresh or chilled","1965","1965","1000 $","126283","E","Estimated value"
"TI","Trade Indices","040","Austria","94","Export Value Base Quantity","21111.01","Meat of cattle with the bone, fresh or chilled","1966","1966","1000 $","124609","E","Estimated value"
"TI","Trade Indices","040","Austria","94","Export Value Base Quantity","21111.01","Meat of cattle with the bone, fresh or chilled","1967","1967","1000 $","119723","E","Estimated value"
"TI","Trade Indices","040","Austria","94","Export Value Base Quantity","21111.01","Meat of cattle with the bone, fresh or chilled","1968","1968","1000 $","111282","E","Estimated value"
"TI","Trade Indices","040","Austria","94","Export Value Base Quantity","21111.01","Meat of cattle with the bone, fresh or chilled","1969","1969","1000 $","128841","E","Estimated value"
"TI","Trade Indices","040","Austria","94","Export Value Base Quantity","21111.01","Meat of cattle with the bone, fresh or chilled","1970","1970","1000 $","140498","E","Estimated value"
"TI","Trade Indices","040","Austria","94","Export Value Base Quantity","21111.01","Meat of cattle with the bone, fresh or chilled","1971","1971","1000 $","139819","E","Estimated value"
"TI","Trade Indices","040","Austria","94","Export Value Base Quantity","21111.01","Meat of cattle with the bone, fresh or chilled","1972","1972","1000 $","198181","E","Estimated value"
"TI","Trade Indices","040","Austria","94","Export Value Base Quantity","21111.01","Meat of cattle with the bone, fresh or chilled","1973","1973","1000 $","233225","E","Estimated value"
"TI","Trade Indices","040","Austria","94","Export Value Base Quantity","21111.01","Meat of cattle with the bone, fresh or chilled","1974","1974","1000 $","200324","E","Estimated value"
"TI","Trade Indices","040","Austria","94","Export Value Base Quantity","21111.01","Meat of cattle with the bone, fresh or chilled","1975","1975","1000 $","132366","E","Estimated value"
"TI","Trade Indices","040","Austria","94","Export Value Base Quantity","21111.01","Meat of cattle with the bone, fresh or chilled","1976","1976","1000 $","181529","E","Estimated value"
"TI","Trade Indices","040","Austria","94","Export Value Base Quantity","21111.01","Meat of cattle with the bone, fresh or chilled","1977","1977","1000 $","215250","E","Estimated value"
"TI","Trade Indices","040","Austria","94","Export Value Base Quantity","21111.01","Meat of cattle with the bone, fresh or chilled","1978","1978","1000 $","245277","E","Estimated value"
"TI","Trade Indices","040","Austria","94","Export Value Base Quantity","21111.01","Meat of cattle with the bone, fresh or chilled","1979","1979","1000 $","280521","E","Estimated value"
"TI","Trade Indices","040","Austria","94","Export Value Base Quantity","21111.01","Meat of cattle with the bone, fresh or chilled","1980","1980","1000 $","322786","E","Estimated value"
"TI","Trade Indices","040","Austria","94","Export Value Base Quantity","21111.01","Meat of cattle with the bone, fresh or chilled","1981","1981","1000 $","313464","E","Estimated value"
"TI","Trade Indices","040","Austria","94","Export Value Base Quantity","21111.01","Meat of cattle with the bone, fresh or chilled","1982","1982","1000 $","290671","E","Estimated value"
"TI","Trade Indices","040","Austria","94","Export Value Base Quantity","21111.01","Meat of cattle with the bone, fresh or chilled","1983","1983","1000 $","259809","E","Estimated value"
"TI","Trade Indices","040","Austria","94","Export Value Base Quantity","21111.01","Meat of cattle with the bone, fresh or chilled","1984","1984","1000 $","203750","E","Estimated value"
"TI","Trade Indices","040","Austria","94","Export Value Base Quantity","21111.01","Meat of cattle with the bone, fresh or chilled","1985","1985","1000 $","180797","E","Estimated value"
"TI","Trade Indices","040","Austria","94","Export Value Base Quantity","21111.01","Meat of cattle with the bone, fresh or chilled","1986","1986","1000 $","203029","E","Estimated value"
"TI","Trade Indices","040","Austria","94","Export Value Base Quantity","21111.01","Meat of cattle with the bone, fresh or chilled","1987","1987","1000 $","236957","E","Estimated value"
"TI","Trade Indices","040","Austria","94","Export Value Base Quantity","21111.01","Meat of cattle with the bone, fresh or chilled","1988","1988","1000 $","263819","E","Estimated value"
"TI","Trade Indices","040","Austria","94","Export Value Base Quantity","21111.01","Meat of cattle with the bone, fresh or chilled","1989","1989","1000 $","308303","E","Estimated value"
"TI","Trade Indices","040","Austria","94","Export Value Base Quantity","21111.01","Meat of cattle with the bone, fresh or chilled","1990","1990","1000 $","325441","E","Estimated value"
"TI","Trade Indices","040","Austria","94","Export Value Base Quantity","21111.01","Meat of cattle with the bone, fresh or chilled","1991","1991","1000 $","287071","E","Estimated value"
"TI","Trade Indices","040","Austria","94","Export Value Base Quantity","21111.01","Meat of cattle with the bone, fresh or chilled","1992","1992","1000 $","327001","E","Estimated value"
"TI","Trade Indices","040","Austria","94","Export Value Base Quantity","21111.01","Meat of cattle with the bone, fresh or chilled","1993","1993","1000 $","316185","E","Estimated value"
"TI","Trade Indices","040","Austria","94","Export Value Base Quantity","21111.01","Meat of cattle with the bone, fresh or chilled","1994","1994","1000 $","328216","E","Estimated value"
"TI","Trade Indices","040","Austria","94","Export Value Base Quantity","21111.01","Meat of cattle with the bone, fresh or chilled","1995","1995","1000 $","431208","E","Estimated value"
"TI","Trade Indices","040","Austria","94","Export Value Base Quantity","21111.01","Meat of cattle with the bone, fresh or chilled","1996","1996","1000 $","341065","E","Estimated value"
"TI","Trade Indices","040","Austria","94","Export Value Base Quantity","21111.01","Meat of cattle with the bone, fresh or chilled","1997","1997","1000 $","296165","E","Estimated value"
"TI","Trade Indices","040","Austria","94","Export Value Base Quantity","21111.01","Meat of cattle with the bone, fresh or chilled","1998","1998","1000 $","312833","E","Estimated value"
"TI","Trade Indices","040","Austria","94","Export Value Base Quantity","21111.01","Meat of cattle with the bone, fresh or chilled","1999","1999","1000 $","287783","E","Estimated value"
"TI","Trade Indices","040","Austria","94","Export Value Base Quantity","21111.01","Meat of cattle with the bone, fresh or chilled","2000","2000","1000 $","259201","E","Estimated value"
"TI","Trade Indices","040","Austria","94","Export Value Base Quantity","21111.01","Meat of cattle with the bone, fresh or chilled","2001","2001","1000 $","208131","E","Estimated value"
"TI","Trade Indices","040","Austria","94","Export Value Base Quantity","21111.01","Meat of cattle with the bone, fresh or chilled","2002","2002","1000 $","256308","E","Estimated value"
"TI","Trade Indices","040","Austria","94","Export Value Base Quantity","21111.01","Meat of cattle with the bone, fresh or chilled","2003","2003","1000 $","318287","E","Estimated value"
"TI","Trade Indices","040","Austria","94","Export Value Base Quantity","21111.01","Meat of cattle with the bone, fresh or chilled","2004","2004","1000 $","365030","E","Estimated value"
"TI","Trade Indices","040","Austria","94","Export Value Base Quantity","21111.01","Meat of cattle with the bone, fresh or chilled","2005","2005","1000 $","419079","E","Estimated value"
"TI","Trade Indices","040","Austria","94","Export Value Base Quantity","21111.01","Meat of cattle with the bone, fresh or chilled","2006","2006","1000 $","448709","E","Estimated value"
"TI","Trade Indices","040","Austria","94","Export Value Base Quantity","21111.01","Meat of cattle with the bone, fresh or chilled","2007","2007","1000 $","480123","E","Estimated value"
"TI","Trade Indices","040","Austria","94","Export Value Base Quantity","21111.01","Meat of cattle with the bone, fresh or chilled","2008","2008","1000 $","565197","E","Estimated value"
"TI","Trade Indices","040","Austria","94","Export Value Base Quantity","21111.01","Meat of cattle with the bone, fresh or chilled","2009","2009","1000 $","522112","E","Estimated value"
"TI","Trade Indices","040","Austria","94","Export Value Base Quantity","21111.01","Meat of cattle with the bone, fresh or chilled","2010","2010","1000 $","489920","E","Estimated value"
"TI","Trade Indices","040","Austria","94","Export Value Base Quantity","21111.01","Meat of cattle with the bone, fresh or chilled","2011","2011","1000 $","573797","E","Estimated value"
"TI","Trade Indices","040","Austria","94","Export Value Base Quantity","21111.01","Meat of cattle with the bone, fresh or chilled","2012","2012","1000 $","589409","E","Estimated value"
"TI","Trade Indices","040","Austria","94","Export Value Base Quantity","21111.01","Meat of cattle with the bone, fresh or chilled","2013","2013","1000 $","595340","E","Estimated value"
"TI","Trade Indices","040","Austria","94","Export Value Base Quantity","21111.01","Meat of cattle with the bone, fresh or chilled","2014","2014","1000 $","557219","E","Estimated value"
"TI","Trade Indices","040","Austria","94","Export Value Base Quantity","21111.01","Meat of cattle with the bone, fresh or chilled","2015","2015","1000 $","478576","E","Estimated value"
